id_distribuidor,fecha_nacimiento,estado,sucursal,escolaridad,estado_civil,dependientes,tipo_vivienda,sexo,tiempo_vivienda,ingreso_neto,experiencia,tipo_negocio,tiempo_op_negocio,capacidad_pago_semanal
4466,1982-06-03,México,TEXCOCO,Secundaria,Casada (o),0,Familiar,MASCULINO,18 AÑOS 1 MESES ,$60.00,SI,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 12 MESES ,
4732,1990-10-22,Veracruz de Ignacio de la Llave,ORIZABA,Primaria,Unión Libre,7,Rentada,FEMENINO,1 AÑOS 0 MESES ,"$12,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,1 AÑOS 6 MESES ,
4826,1974-01-27,Jalisco,TONALA,Secundaria,Casada (o),0,Propia,FEMENINO,21 AÑOS 0 MESES ,"$7,000.00",NO,BELLEZA/SALON/ESTETICA/BARBERIA,4 AÑOS 0 MESES ,
4708,1990-07-30,México,CHIMALHUACAN 2,Bachillerato,Casada (o),7,Familiar,MASCULINO,20 AÑOS 7 MESES ,"$40,000.00",SI,IMPRENTA/SERIGRAFIA/ROTULOS,6 AÑOS 6 MESES ,
4923,1985-09-25,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,0 AÑOS 3 MESES ,
4913,1975-08-10,Jalisco,TONALA,Primaria,Casada (o),0,Familiar,FEMENINO,22 AÑOS 0 MESES ,"$15,000.00",NO,VENTA DE ROPA,10 AÑOS 12 MESES ,
5252,1973-07-04,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,3 AÑOS 7 MESES ,
5812,1986-04-12,Distrito Federal,NEZAHUALCOYOTL 2,Bachillerato,Soltera (o),0,Familiar,FEMENINO,15 AÑOS 2 MESES ,"$20,000.00",NO,PAPELERIA,6 AÑOS 3 MESES ,
5569,1973-02-19,Jalisco,TONALA,Secundaria,Casada (o),0,Familiar,FEMENINO,22 AÑOS 0 MESES ,"$8,000.00",NO,VENTA DE ALIMENTOS,3 AÑOS 0 MESES ,
5728,1983-11-08,México,CHALCO,Bachillerato,Casada (o),9,,MASCULINO,0 AÑOS 0 MESES ,"$12,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,2 AÑOS 4 MESES ,
5738,1984-05-12,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,Familiar,FEMENINO,16 AÑOS 12 MESES ,$35.00,NO,VENTA POR CATALOGO,5 AÑOS 10 MESES ,
5566,1959-12-26,México,CHIMALHUACAN 2,Primaria,Casada (o),0,Propia,FEMENINO,26 AÑOS 10 MESES ,$50.00,NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 12 MESES ,
5846,1987-08-01,Jalisco,TONALA,Bachillerato,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 6 MESES ,
6221,1965-09-05,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,"$4,800.00",SI,DISTRIBUIDOR CON EXPERIENCIA,4 AÑOS 5 MESES ,
6136,1983-08-11,México,CHIMALHUACAN 2,Primaria,Soltera (o),4,Familiar,FEMENINO,12 AÑOS 10 MESES ,"$45,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,7 AÑOS 12 MESES ,
6379,1978-11-01,Tabasco,VILLAHERMOSA,Secundaria,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,ABARROTES/MISCELANEAS/PERECEDEROS,2 AÑOS 3 MESES ,
6611,1984-10-08,Veracruz de Ignacio de la Llave,ORIZABA,Secundaria,Unión Libre,0,Propia,FEMENINO,5 AÑOS 0 MESES ,"$8,000.00",NO,VENTA POR CATALOGO,3 AÑOS 0 MESES ,
6506,1970-12-11,México,CHIMALHUACAN 2,Bachillerato,Casada (o),0,Propia,FEMENINO,20 AÑOS 12 MESES ,"$52,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 12 MESES ,
6728,1978-10-20,México,CHALCO,Licenciatura,Soltera (o),0,Familiar,FEMENINO,30 AÑOS 0 MESES ,"$15,000.00",NO,VENTA POR CATALOGO,6 AÑOS 0 MESES ,
6857,1967-03-11,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),1,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,3 AÑOS 2 MESES ,
7104,1961-08-23,México,CHALCO,Secundaria,Viuda (o),1,Propia,FEMENINO,12 AÑOS 0 MESES ,"$9,000.00",NO,VENTA DE ALIMENTOS,2 AÑOS 2 MESES ,
7308,1982-09-28,Distrito Federal,CHALCO,Secundaria,Soltera (o),1,Familiar,MASCULINO,36 AÑOS 1 MESES ,"$32,000.00",NO,JARCIERIA,10 AÑOS 12 MESES ,
8082,1978-08-14,México,CHALCO,Secundaria,Unión Libre,2,Familiar,FEMENINO,30 AÑOS 0 MESES ,"$4,000.00",NO,VENTA POR CATALOGO,2 AÑOS 0 MESES ,
7907,1966-09-19,Veracruz de Ignacio de la Llave,ORIZABA,Secundaria,Casada (o),2,Propia,FEMENINO,12 AÑOS 0 MESES ,"$20,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 0 MESES ,
8265,1972-01-05,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,MASCULINO,0 AÑOS 0 MESES ,"$6,600.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 7 MESES ,
8378,1973-01-27,México,CHIMALHUACAN 2,Primaria,Divorciada (o),1,Familiar,FEMENINO,30 AÑOS 1 MESES ,$0.00,NO,VENTA POR CATALOGO,10 AÑOS 1 MESES ,
8514,1977-12-02,Jalisco,TONALA,Secundaria,Casada (o),0,Familiar,FEMENINO,25 AÑOS 0 MESES ,"$10,000.00",NO,VENTA DE ROPA,10 AÑOS 12 MESES ,
8408,1986-11-19,México,CHALCO,Tecnico,Casada (o),3,Familiar,FEMENINO,8 AÑOS 0 MESES ,"$30,000.00",NO,PANADERIA,5 AÑOS 0 MESES ,
8632,1992-08-28,México,CHIMALHUACAN 2,Bachillerato,Casada (o),1,Familiar,FEMENINO,20 AÑOS 12 MESES ,$50.00,NO,ABARROTES/MISCELANEAS/PERECEDEROS,4 AÑOS 12 MESES ,
8679,1976-08-20,México,TEXCOCO,Primaria,Casada (o),1,Propia,FEMENINO,15 AÑOS 11 MESES ,$55.00,NO,ABARROTES/MISCELANEAS/PERECEDEROS,5 AÑOS 2 MESES ,
8633,1961-12-13,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 0 MESES ,
8309,1968-10-22,Distrito Federal,CHALCO,Secundaria,Casada (o),1,Familiar,FEMENINO,15 AÑOS 1 MESES ,"$12,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,6 AÑOS 1 MESES ,
8151,1982-08-26,Distrito Federal,CHALCO,Bachillerato,Casada (o),1,Familiar,MASCULINO,7 AÑOS 4 MESES ,"$80,000.00",NO,CAFEINTERNET,10 AÑOS 0 MESES ,
8319,1966-11-14,Jalisco,TONALA,Secundaria,Casada (o),2,Propia,FEMENINO,23 AÑOS 8 MESES ,$0.00,NO,VENTA DE ALIMENTOS,8 AÑOS 6 MESES ,
8774,1970-11-07,Jalisco,TONALA,Bachillerato,Soltera (o),0,Propia,FEMENINO,6 AÑOS 7 MESES ,$0.00,NO,VENTA POR CATALOGO,1 AÑOS 6 MESES ,
8488,1972-12-01,Jalisco,TONALA,Tecnico,Casada (o),2,,FEMENINO,0 AÑOS 0 MESES ,"$16,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 3 MESES ,
8869,1978-04-22,México,TEXCOCO,Tecnico,Casada (o),0,Propia,MASCULINO,38 AÑOS 1 MESES ,$0.00,NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 1 MESES ,
8994,1984-08-01,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,VENTA POR CATALOGO,2 AÑOS 0 MESES ,
8828,1984-11-16,Jalisco,TONALA,Primaria,Casada (o),0,Familiar,FEMENINO,3 AÑOS 5 MESES ,"$17,000.00",NO,VENTA DE ALIMENTOS,3 AÑOS 0 MESES ,
9530,1956-06-21,Veracruz de Ignacio de la Llave,ORIZABA,Licenciatura,Soltera (o),0,Propia,FEMENINO,50 AÑOS 0 MESES ,"$8,000.00",NO,PANADERIA,10 AÑOS 0 MESES ,
9557,1977-07-17,México,CHIMALHUACAN 2,Bachillerato,Casada (o),2,Propia,FEMENINO,15 AÑOS 2 MESES ,$0.00,NO,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,3 AÑOS 2 MESES ,
9718,1974-12-25,México,TEXCOCO,Secundaria,Casada (o),2,Propia,MASCULINO,18 AÑOS 2 MESES ,$0.00,NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 2 MESES ,
9038,1973-09-16,Tabasco,VILLAHERMOSA,Sin Estudios,Viuda (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,CAFEINTERNET,10 AÑOS 0 MESES ,
9963,1985-01-10,México,CHALCO,Secundaria,Unión Libre,2,Propia,FEMENINO,2 AÑOS 6 MESES ,"$6,000.00",NO,VENTA DE ROPA,1 AÑOS 6 MESES ,
9815,1986-08-21,México,CHALCO,Bachillerato,Unión Libre,2,,FEMENINO,0 AÑOS 0 MESES ,"$20,000.00",NO,DEPORTES/GIMNASIO,4 AÑOS 8 MESES ,
9813,1965-12-04,México,CHALCO,Licenciatura,Unión Libre,2,Propia,MASCULINO,10 AÑOS 2 MESES ,"$25,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,10 AÑOS 0 MESES ,
8439,1980-11-26,México,CHIMALHUACAN 2,Primaria,Casada (o),4,Propia,FEMENINO,7 AÑOS 2 MESES ,$0.00,NO,VENTA POR CATALOGO,6 AÑOS 2 MESES ,
10457,1960-04-23,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,VENTA POR CATALOGO,1 AÑOS 0 MESES ,
10334,1965-02-02,Veracruz de Ignacio de la Llave,ORIZABA,Tecnico,Casada (o),0,Propia,FEMENINO,23 AÑOS 0 MESES ,"$5,400.00",NO,VENTA DE ALIMENTOS,2 AÑOS 0 MESES ,
10461,1967-05-23,Tabasco,VILLAHERMOSA,Sin Estudios,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,VENTA POR CATALOGO,1 AÑOS 0 MESES ,
10466,1978-07-10,Tabasco,VILLAHERMOSA,Sin Estudios,,0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,VENTA POR CATALOGO,4 AÑOS 0 MESES ,
10246,1968-02-06,Veracruz de Ignacio de la Llave,ORIZABA,Secundaria,Viuda (o),1,Propia,FEMENINO,20 AÑOS 0 MESES ,"$3,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 0 MESES ,
9465,1985-10-06,Jalisco,TONALA,Tecnico,Casada (o),0,Familiar,FEMENINO,12 AÑOS 3 MESES ,$12.00,NO,VENTA POR CATALOGO,4 AÑOS 7 MESES ,
10536,1959-10-20,México,CHIMALHUACAN 2,Primaria,Casada (o),0,Propia,FEMENINO,35 AÑOS 11 MESES ,"$25,000.00",NO,VENTA DE ROPA,10 AÑOS 12 MESES ,
10181,1950-07-10,México,CHIMALHUACAN 2,Secundaria,Unión Libre,2,Propia,MASCULINO,16 AÑOS 7 MESES ,$0.00,NO,TLAPALERIA/FERRETERIA/MATERIALES DE CONSTRUCCION,10 AÑOS 6 MESES ,
11129,1966-11-11,Jalisco,TONALA 2,Secundaria,Casada (o),0,Rentada,FEMENINO,2 AÑOS 2 MESES ,"$7,000.00",NO,ARTE/ARTESANIAS,10 AÑOS 12 MESES ,
10933,1969-08-30,Veracruz de Ignacio de la Llave,ORIZABA,Bachillerato,Unión Libre,2,Propia,FEMENINO,18 AÑOS 0 MESES ,"$11,500.00",SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 0 MESES ,
11492,1975-08-01,Jalisco,TONALA,Bachillerato,Casada (o),2,Familiar,FEMENINO,15 AÑOS 0 MESES ,"$5,000.00",NO,VENTA DE ALIMENTOS,1 AÑOS 0 MESES ,
11752,1979-03-15,Veracruz de Ignacio de la Llave,ORIZABA,Bachillerato,Unión Libre,1,Familiar,FEMENINO,10 AÑOS 0 MESES ,"$4,700.00",NO,VENTA POR CATALOGO,6 AÑOS 0 MESES ,
12168,1969-05-08,México,TEXCOCO,Primaria,Casada (o),1,Propia,FEMENINO,20 AÑOS 3 MESES ,$38.00,NO,VENTA POR CATALOGO,10 AÑOS 3 MESES ,
11364,1989-07-26,México,TEXCOCO,Licenciatura,Soltera (o),0,Familiar,FEMENINO,29 AÑOS 3 MESES ,$30.00,NO,VENTA POR CATALOGO,10 AÑOS 3 MESES ,
12100,1975-07-14,Tabasco,VILLAHERMOSA,Tecnico,Casada (o),2,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,ABARROTES/MISCELANEAS/PERECEDEROS,3 AÑOS 4 MESES ,
11115,1972-02-18,México,CHIMALHUACAN 2,Secundaria,Casada (o),2,,FEMENINO,0 AÑOS 0 MESES ,$10.00,NO,VENTA POR CATALOGO,10 AÑOS 12 MESES ,
12008,1973-10-15,Jalisco,TONALA,Primaria,Casada (o),2,Propia,FEMENINO,40 AÑOS 2 MESES ,$24.00,NO,VENTA DE ALIMENTOS,10 AÑOS 4 MESES ,
12288,1988-04-21,México,CHALCO,Bachillerato,Soltera (o),1,Familiar,FEMENINO,28 AÑOS 1 MESES ,"$8,000.00",NO,VENTA DE ALIMENTOS,5 AÑOS 1 MESES ,
11655,1983-03-21,México,CHALCO,Secundaria,Casada (o),1,Familiar,FEMENINO,36 AÑOS 1 MESES ,"$16,000.00",NO,JOYERIA/BISUTERIA/FUNDICION,10 AÑOS 1 MESES ,
13084,1965-02-08,México,CHIMALHUACAN 2,Secundaria,Soltera (o),0,Propia,FEMENINO,20 AÑOS 7 MESES ,$35.00,NO,VENTA DE ROPA,3 AÑOS 2 MESES ,
13036,1983-03-11,México,TEXCOCO,Secundaria,Casada (o),3,Propia,FEMENINO,13 AÑOS 4 MESES ,$35.00,NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 4 MESES ,
13185,1977-10-22,Tabasco,VILLAHERMOSA,Licenciatura,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,4 AÑOS 2 MESES ,
13330,1973-03-01,México,TEXCOCO,Bachillerato,Casada (o),1,Propia,MASCULINO,20 AÑOS 4 MESES ,$42.00,NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 4 MESES ,
13266,1957-10-29,Tabasco,VILLAHERMOSA,Secundaria,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 7 MESES ,
13078,1953-02-26,México,CHALCO,Primaria,Unión Libre,0,Propia,FEMENINO,34 AÑOS 1 MESES ,"$20,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,10 AÑOS 1 MESES ,
13309,1973-09-25,México,TEXCOCO,Bachillerato,Casada (o),2,Propia,FEMENINO,18 AÑOS 4 MESES ,$35.00,NO,VENTA DE ALIMENTOS,5 AÑOS 4 MESES ,
13489,1986-07-12,México,TEXCOCO,Secundaria,Casada (o),1,Propia,MASCULINO,30 AÑOS 4 MESES ,$35.00,NO,MECANICA AUTOMOTRIZ/INDUSTRIAL,10 AÑOS 4 MESES ,
12897,1971-02-17,México,CHIMALHUACAN 2,Secundaria,Unión Libre,0,Propia,FEMENINO,10 AÑOS 8 MESES ,"$16,000.00",NO,VENTA DE ALIMENTOS,3 AÑOS 2 MESES ,
14001,1959-04-28,Distrito Federal,CHALCO,Primaria,Casada (o),0,Propia,MASCULINO,10 AÑOS 1 MESES ,"$7,000.00",NO,VENTA DE ALIMENTOS,10 AÑOS 1 MESES ,
13668,1975-07-02,Tabasco,VILLAHERMOSA,Tecnico,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 2 MESES ,
13537,1962-09-04,Distrito Federal,NEZAHUALCOYOTL 2,Bachillerato,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,"$20,000.00",NO,VENTA POR CATALOGO,8 AÑOS 12 MESES ,
13671,1994-04-12,Veracruz de Ignacio de la Llave,ORIZABA,Bachillerato,Soltera (o),1,Familiar,FEMENINO,2 AÑOS 0 MESES ,"$6,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 0 MESES ,
14049,1976-10-28,Veracruz de Ignacio de la Llave,ORIZABA,Bachillerato,Soltera (o),2,Propia,FEMENINO,15 AÑOS 0 MESES ,"$9,000.00",NO,JARCIERIA,3 AÑOS 0 MESES ,
14121,1974-04-17,Veracruz de Ignacio de la Llave,ORIZABA,Tecnico,Casada (o),0,Familiar,FEMENINO,10 AÑOS 0 MESES ,"$14,000.00",NO,VENTA DE ALIMENTOS,6 AÑOS 0 MESES ,
14917,1971-03-28,Tabasco,CARDENAS,Bachillerato,Unión Libre,0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 0 MESES ,
14484,1962-03-23,México,TEXCOCO,Bachillerato,Casada (o),0,Propia,FEMENINO,50 AÑOS 5 MESES ,$25.00,NO,VENTA DE ROPA,5 AÑOS 5 MESES ,
14894,1983-10-08,México,TEXCOCO,Tecnico,Soltera (o),2,Propia,FEMENINO,35 AÑOS 5 MESES ,$37.00,NO,EDUCACION/ESCUELAS/CENTRO DE CAPACITACION,5 AÑOS 5 MESES ,
14188,1981-07-27,Jalisco,TONALA,Tecnico,Divorciada (o),1,Propia,FEMENINO,26 AÑOS 0 MESES ,"$29,000.00",NO,VENTA POR CATALOGO,10 AÑOS 0 MESES ,
15252,1960-04-30,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,,MASCULINO,0 AÑOS 0 MESES ,"$16,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,3 AÑOS 3 MESES ,
15223,1973-04-29,México,CHALCO,Bachillerato,Casada (o),1,Propia,MASCULINO,20 AÑOS 1 MESES ,"$15,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 1 MESES ,
15358,1993-04-17,Tabasco,CARDENAS,Licenciatura,Casada (o),1,Propia,FEMENINO,1 AÑOS 12 MESES ,$20.00,SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 0 MESES ,
14164,1964-05-21,México,CHALCO,Primaria,Casada (o),1,Propia,MASCULINO,32 AÑOS 1 MESES ,"$6,000.00",NO,VENTA DE ROPA,10 AÑOS 12 MESES ,
16004,1987-01-06,Tabasco,VILLAHERMOSA,Bachillerato,Soltera (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,VENTA POR CATALOGO,2 AÑOS 2 MESES ,
16051,1982-05-28,Tabasco,VILLAHERMOSA,Licenciatura,Unión Libre,0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,VENTA POR CATALOGO,1 AÑOS 2 MESES ,
16244,1985-10-16,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,4 AÑOS 6 MESES ,
16409,1983-08-13,Tabasco,VILLAHERMOSA,Secundaria,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,3 AÑOS 2 MESES ,
16335,1976-02-03,México,CHALCO,Licenciatura,Unión Libre,1,Propia,FEMENINO,7 AÑOS 2 MESES ,"$15,000.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,5 AÑOS 11 MESES ,
16576,1973-04-14,Tabasco,VILLAHERMOSA,Primaria,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 2 MESES ,
12075,1965-03-22,Jalisco,TONALA,Primaria,Casada (o),1,Propia,FEMENINO,18 AÑOS 1 MESES ,$20.00,NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 3 MESES ,
16622,1965-12-13,Tabasco,VILLAHERMOSA,Licenciatura,Unión Libre,0,,MASCULINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 2 MESES ,
16698,1977-12-23,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 2 MESES ,
